System Config
GPU Count,4
GPU Name(s),NVIDIA RTX A5000, NVIDIA RTX A5000, NVIDIA RTX A5000, NVIDIA RTX A5000
CPU Model,AMD EPYC 7402 24-Core Processor
GPU Driver Version,470.57.02
Framework,PyTorch 1.10.0a0+3fd9dcf
CUDA Version,11.4
cuDNN Version,8.2.2
NSys Version,2021.3.2.12-9700a21
DLProf Version,v1.8.0
DLProf Build,29839685

Summary Report
Wall Clock Time (ns),10440769354
Tensor Core Kernel Utilization %,1.1
GPU Utilization %,0.5
Tensor Core Kernel Duration %,0.0
Non-Tensor Core Kernel Duration %,0.5
Memory Duration %,0.0
Dataloader Duration %,0.0
IO Duration %,0.0
CPU Duration %,16.8
Other Duration %,82.6

Iterations
Total Iterations,1
Aggregated Iterations,1
Start Iteration,0
Stop Iteration,0
Average Iteration Time (ns),10440769354.0
Iteration Time Standard Deviation,0.0

All Ops
,GPU Time (ns),CPU Time (ns),# Ops
All ops,241761157,7212734123,8904
Ops using TC,93446976,251445371,53
Ops eligible for TC but not using,103427045,2774197915,190
All other ops,44887136,4187090837,8661

All Kernels
,GPU Time (ns),CPU Time (ns),# Kernels
All kernels,331141652,83571328,50
Kernels using TC,3231693,469138,2
Memory,15761550,41791092,2
All other kernels,312148409,41311098,46
