All Iterations
Op ID,Op Name,Direction,Op Type,No. Calls,TC Eligible,Using TC,Total CPU Time (ns),Avg. CPU Time (ns),Min CPU Time (ns),Max CPU Time (ns),Total GPU Time (ns),Avg. GPU Time (ns),Min GPU Time (ns),Max GPU Time (ns),Total CPU Overhead (ns),Avg. CPU Overhead (ns),Min CPU Overhead (ns),Max CPU Overhead (ns),Total GPU Idle (ns),Avg. GPU Idle (ns),Min GPU Idle (ns),Max GPU Idle (ns),Data Type,Stack Trace
"ADAPTIVE_AVG_POOL2D_1","/module/tumor_predict/densenet121_change_avg::_call_impl/densenet121_change_avg::forward/AdaptiveAvgPool2d::_call_impl[2]/AdaptiveAvgPool2d::forward/adaptive_avg_pool2d",fprop,"adaptive_avg_pool2d",1,no,no,216878,216878.0,216878,216878,19008,19008.0,19008,19008,203189,203189.0,203189,203189,0,0.0,0,0,float32,"../stroke/brain-ct-pipeline/src/tumor_predict.py:141
../stroke/brain-ct-pipeline/src/tumor_predict.py:116
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
../stroke/brain-ct-pipeline/src/tumor_predict.py:47
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/pooling.py:1137"
"AVG_POOL2D_1","/module/tumor_predict/densenet121_change_avg::_call_impl/densenet121_change_avg::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/BatchNorm2d::_call_impl[2]/BatchNorm2d::forward/avg_pool2d",fprop,"avg_pool2d",1,no,no,74850,74850.0,74850,74850,130272,130272.0,130272,130272,61360,61360.0,61360,61360,0,0.0,0,0,float32,"../stroke/brain-ct-pipeline/src/tumor_predict.py:141
../stroke/brain-ct-pipeline/src/tumor_predict.py:116
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
../stroke/brain-ct-pipeline/src/tumor_predict.py:46
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/container.py:139
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/container.py:139
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/pooling.py:615"
"AVG_POOL2D_2","/module/tumor_predict/densenet121_change_avg::_call_impl/densenet121_change_avg::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/BatchNorm2d::_call_impl[2]/BatchNorm2d::forward/avg_pool2d",fprop,"avg_pool2d",1,no,no,52100,52100.0,52100,52100,66593,66593.0,66593,66593,38940,38940.0,38940,38940,0,0.0,0,0,float32,"../stroke/brain-ct-pipeline/src/tumor_predict.py:141
../stroke/brain-ct-pipeline/src/tumor_predict.py:116
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
../stroke/brain-ct-pipeline/src/tumor_predict.py:46
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/container.py:139
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/container.py:139
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/pooling.py:615"
"AVG_POOL2D_3","/module/tumor_predict/densenet121_change_avg::_call_impl/densenet121_change_avg::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/BatchNorm2d::_call_impl[2]/BatchNorm2d::forward/avg_pool2d",fprop,"avg_pool2d",1,no,no,42020,42020.0,42020,42020,36544,36544.0,36544,36544,28730,28730.0,28730,28730,0,0.0,0,0,float32,"../stroke/brain-ct-pipeline/src/tumor_predict.py:141
../stroke/brain-ct-pipeline/src/tumor_predict.py:116
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
../stroke/brain-ct-pipeline/src/tumor_predict.py:46
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/container.py:139
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/container.py:139
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/pooling.py:615"
"BATCH_NORM_1","/module/tumor_predict/densenet121_change_avg::_call_impl/densenet121_change_avg::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/batch_norm",fprop,"batch_norm",1,no,no,947191,947191.0,947191,947191,329537,329537.0,329537,329537,907091,907091.0,907091,907091,0,0.0,0,0,float32,"../stroke/brain-ct-pipeline/src/tumor_predict.py:141
../stroke/brain-ct-pipeline/src/tumor_predict.py:116
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
../stroke/brain-ct-pipeline/src/tumor_predict.py:46
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/container.py:139
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/batchnorm.py:167"
"BATCH_NORM_10","/module/tumor_predict/densenet121_change_avg::_call_impl/densenet121_change_avg::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/_DenseLayer::_call_impl/_DenseLayer::forward/_DenseLayer::bn_function/BatchNorm2d::_call_impl/BatchNorm2d::forward/batch_norm",fprop,"batch_norm",1,no,no,719403,719403.0,719403,719403,244865,244865.0,244865,244865,701863,701863.0,701863,701863,0,0.0,0,0,float32,"../stroke/brain-ct-pipeline/src/tumor_predict.py:141
../stroke/brain-ct-pipeline/src/tumor_predict.py:116
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
../stroke/brain-ct-pipeline/src/tumor_predict.py:46
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/container.py:139
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torchvision/models/densenet.py:127
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torchvision/models/densenet.py:92
/opt/conda/lib/python3.8/site-packages/torchvision/models/densenet.py:53
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/batchnorm.py:167"
"BATCH_NORM_100","/module/tumor_predict/densenet121_change_avg::_call_impl/densenet121_change_avg::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/_DenseLayer::_call_impl/_DenseLayer::forward/BatchNorm2d::_call_impl/BatchNorm2d::forward/batch_norm",fprop,"batch_norm",1,no,no,397337,397337.0,397337,397337,5312,5312.0,5312,5312,383887,383887.0,383887,383887,0,0.0,0,0,float32,"../stroke/brain-ct-pipeline/src/tumor_predict.py:141
../stroke/brain-ct-pipeline/src/tumor_predict.py:116
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
../stroke/brain-ct-pipeline/src/tumor_predict.py:46
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/container.py:139
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torchvision/models/densenet.py:127
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torchvision/models/densenet.py:94
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/batchnorm.py:167"
"BATCH_NORM_101","/module/tumor_predict/densenet121_change_avg::_call_impl/densenet121_change_avg::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/_DenseLayer::_call_impl/_DenseLayer::forward/_DenseLayer::bn_function/BatchNorm2d::_call_impl/BatchNorm2d::forward/batch_norm",fprop,"batch_norm",1,no,no,391307,391307.0,391307,391307,17920,17920.0,17920,17920,378657,378657.0,378657,378657,0,0.0,0,0,float32,"../stroke/brain-ct-pipeline/src/tumor_predict.py:141
../stroke/brain-ct-pipeline/src/tumor_predict.py:116
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
../stroke/brain-ct-pipeline/src/tumor_predict.py:46
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/container.py:139
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torchvision/models/densenet.py:127
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torchvision/models/densenet.py:92
/opt/conda/lib/python3.8/site-packages/torchvision/models/densenet.py:53
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/batchnorm.py:167"
"BATCH_NORM_102","/module/tumor_predict/densenet121_change_avg::_call_impl/densenet121_change_avg::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/_DenseLayer::_call_impl/_DenseLayer::forward/BatchNorm2d::_call_impl/BatchNorm2d::forward/batch_norm",fprop,"batch_norm",1,no,no,394416,394416.0,394416,394416,5376,5376.0,5376,5376,375837,375837.0,375837,375837,0,0.0,0,0,float32,"../stroke/brain-ct-pipeline/src/tumor_predict.py:141
../stroke/brain-ct-pipeline/src/tumor_predict.py:116
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
../stroke/brain-ct-pipeline/src/tumor_predict.py:46
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/container.py:139
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torchvision/models/densenet.py:127
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torchvision/models/densenet.py:94
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/batchnorm.py:167"
"BATCH_NORM_103","/module/tumor_predict/densenet121_change_avg::_call_impl/densenet121_change_avg::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/_DenseLayer::_call_impl/_DenseLayer::forward/_DenseLayer::bn_function/BatchNorm2d::_call_impl/BatchNorm2d::forward/batch_norm",fprop,"batch_norm",1,no,no,391356,391356.0,391356,391356,18624,18624.0,18624,18624,378016,378016.0,378016,378016,0,0.0,0,0,float32,"../stroke/brain-ct-pipeline/src/tumor_predict.py:141
../stroke/brain-ct-pipeline/src/tumor_predict.py:116
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
../stroke/brain-ct-pipeline/src/tumor_predict.py:46
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/container.py:139
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torchvision/models/densenet.py:127
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torchvision/models/densenet.py:92
/opt/conda/lib/python3.8/site-packages/torchvision/models/densenet.py:53
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/batchnorm.py:167"
